run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpNearMissSeparatorMode,InpNearMissSeparatorCombineMask,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpM15Wave1MinImpulseAtr,InpM15Wave1MinBodyEfficiency,InpM15Wave1MaxOverlapRatio,InpM15Wave1MaxAgeBars,InpExitMode,InpMaxHoldBars
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_base.ini,fx_session_reversal_m15_wave1_quality_full2025_base,16385,15,5,0,false,0,0,0,0,0,0,0,false,0,0,0.8,0.45,0.60,24,1,30
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light.ini,fx_session_reversal_m15_wave1_quality_full2025_light,16385,15,5,0,true,2,3,0,0,0,0,0,false,0,0,0.8,0.45,0.60,24,1,30
full2025_wave1_diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,wave1_diag,wave1_quality_diagnostic_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_wave1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_wave1_diag.ini,fx_session_reversal_m15_wave1_quality_full2025_wave1_diag,16385,15,5,0,false,0,0,0,0,0,0,0,true,1,0,0.8,0.45,0.60,24,1,30
full2025_light_and_wave1,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_and_wave1,required_light_and_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_and_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_and_wave1.ini,fx_session_reversal_m15_wave1_quality_full2025_light_and_wave1,16385,15,5,0,true,2,3,0,0,0,0,0,true,3,1,0.8,0.45,0.60,24,1,30
full2025_light_or_wave1,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_wave1,required_light_or_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_or_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_or_wave1.ini,fx_session_reversal_m15_wave1_quality_full2025_light_or_wave1,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,2,0.8,0.45,0.60,24,1,30
full2025_wave1_only,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,wave1_only,wave1_quality_required_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_wave1_only.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_wave1_only.ini,fx_session_reversal_m15_wave1_quality_full2025_wave1_only,16385,15,5,0,false,0,1,6,5,9,0,0,true,3,0,0.8,0.45,0.60,24,1,30
full2025_light_or_wave1_exhaustion,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_wave1_exhaustion,required_light_plus_wave1_quality_nearmiss,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_or_wave1_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_light_or_wave1_exhaustion.ini,fx_session_reversal_m15_wave1_quality_full2025_light_or_wave1_exhaustion,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,3,0.8,0.45,0.60,24,1,30
full2025_one_light_wave1_diag,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_light_wave1_diag,one_symbol_required_light_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_light_wave1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_light_wave1_diag.ini,fx_session_reversal_m15_wave1_quality_full2025_one_light_wave1_diag,16385,15,5,0,true,2,3,0,0,0,0,0,true,1,0,0.8,0.45,0.60,24,1,30
full2025_one_light_or_wave1,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_light_or_wave1,one_symbol_required_light_or_wave1_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_light_or_wave1.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_light_or_wave1.ini,fx_session_reversal_m15_wave1_quality_full2025_one_light_or_wave1,16385,15,5,0,true,1,1,6,5,9,0,0,true,3,2,0.8,0.45,0.60,24,1,30
full2025_one_wave1_only,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_wave1_only,one_symbol_wave1_quality_required_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_wave1_only.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_wave1q_full2025_one_wave1_only.ini,fx_session_reversal_m15_wave1_quality_full2025_one_wave1_only,16385,15,5,0,false,0,1,6,5,9,0,0,true,3,0,0.8,0.45,0.60,24,1,30
