run_id,scenario_id,scenario_name,scenario_mode,htf_alignment_id,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,preset,tester_ini,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,daily_or_dd_stopped,gate_scope,passed_2025_shallow_gate
all_first120__strict__no_be,all_first120,session_reversal_pullback_all_symbols_first120,0,strict,strict_h4_h1_alignment,0,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__no_be_2025.ini,163,64,0.39263803680981596,-381.37999999999977,1606.4700000000003,-1987.85,0.80814447770204,-16.4246,-0.10076441717791412,0.8098980426834133,651.9999999999999,6.52,-0.5849386503067482,71,0.43558282208588955,0,0.0,0,0.0,38,0.2331288343558282,54,0.3312883435582822,0.4292901840490796,0.530054601226994,False,True,False
all_first120__strict__be_1_0r,all_first120,session_reversal_pullback_all_symbols_first120,0,strict,strict_h4_h1_alignment,0,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_1_0r_2025.ini,163,62,0.3803680981595092,-278.53000000000003,1564.0400000000006,-1842.5699999999995,0.848836136483282,-12.1128,-0.07431165644171779,0.8478832274455181,549.92,5.4992,-0.5064918533604889,67,0.4110429447852761,35,0.2147239263803681,7,0.04294478527607362,37,0.22699386503067484,52,0.31901840490797545,0.7756202453987734,0.7965276073619633,False,True,False
all_first120__strict__be_1_1r,all_first120,session_reversal_pullback_all_symbols_first120,0,strict,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_1_1r_2025.ini,163,64,0.39263803680981596,-227.8000000000001,1621.8000000000009,-1849.6,0.8768382352941182,-9.815399999999999,-0.06021717791411042,0.8769841220107351,500.37000000000006,5.0037,-0.4552631053020766,67,0.4110429447852761,30,0.18404907975460122,4,0.024539877300613498,38,0.2331288343558282,54,0.3312883435582822,0.7809883435582826,0.8003871165644172,False,True,False
all_first120__strict__be_30m_0_5r,all_first120,session_reversal_pullback_all_symbols_first120,0,strict,strict_h4_h1_alignment,0,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__strict__be_30m_0_5r_2025.ini,167,51,0.30538922155688625,-277.16000000000014,1363.4400000000005,-1640.6,0.8310618066561017,-11.863099999999992,-0.07103652694610774,0.8321466875320122,481.77000000000015,4.817700000000002,-0.5752952653755943,60,0.3592814371257485,72,0.4311377245508982,34,0.20359281437125748,33,0.19760479041916168,40,0.23952095808383234,0.7228371257485033,0.7561538922155688,False,True,False
all_first120__h4_bias_h1_rev__no_be,all_first120,session_reversal_pullback_all_symbols_first120,0,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__no_be_2025.ini,347,139,0.40057636887608067,-1031.8800000000008,3175.209999999999,-4207.089999999997,0.7547283276564088,-44.9792,-0.12962305475504324,0.7581364235924961,1342.0600000000004,13.420600000000004,-0.7688776954830637,166,0.4783861671469741,0,0.0,0,0.0,73,0.21037463976945245,108,0.3112391930835735,0.4063115273775216,0.5359345821325648,False,True,False
all_first120__h4_bias_h1_rev__be_1_0r,all_first120,session_reversal_pullback_all_symbols_first120,0,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_0r_2025.ini,347,130,0.3746397694524496,-871.8300000000003,3106.25,-3978.079999999998,0.7808415114829268,-38.16469999999998,-0.10998472622478381,0.7805964443294672,1179.1800000000003,11.791800000000002,-0.7393527705693788,157,0.45244956772334294,76,0.21902017291066284,19,0.05475504322766571,72,0.207492795389049,99,0.28530259365994237,0.7445948126801148,0.7935066282420753,False,True,False
all_first120__h4_bias_h1_rev__be_1_1r,all_first120,session_reversal_pullback_all_symbols_first120,0,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_1_1r_2025.ini,347,135,0.38904899135446686,-871.5400000000003,3142.7100000000005,-4014.249999999997,0.7828884598617433,-37.92709999999999,-0.10929999999999997,0.783751314952975,1145.9100000000003,11.459100000000003,-0.7605658385038965,158,0.4553314121037464,60,0.1729106628242075,13,0.037463976945244955,72,0.207492795389049,104,0.29971181556195964,0.7480878962536018,0.795690489913545,False,True,False
all_first120__h4_bias_h1_rev__be_30m_0_5r,all_first120,session_reversal_pullback_all_symbols_first120,0,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini,353,114,0.32294617563739375,-786.8000000000002,2890.7999999999993,-3677.5999999999985,0.7860561235588428,-33.66009999999999,-0.09535439093484417,0.7883884311808658,1009.2700000000002,10.092700000000002,-0.7795733549991578,144,0.40793201133144474,140,0.39660056657223797,60,0.16997167138810199,69,0.1954674220963173,80,0.22662889518413598,0.6997753541076487,0.7685118980169976,False,True,False
all_first120__h1_conf_h4_notopp__no_be,all_first120,session_reversal_pullback_all_symbols_first120,0,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__no_be_2025.ini,527,206,0.3908918406072106,-1240.8199999999993,4704.919999999999,-5945.739999999998,0.7913094080804073,-53.69600000000001,-0.10188994307400381,0.8004647251466248,1354.7699999999993,13.547699999999994,-0.9158897820294218,226,0.428842504743833,0,0.0,0,0.0,118,0.2239089184060721,183,0.34724857685009486,0.4087462998102468,0.5106362428842506,False,True,False
all_first120__h1_conf_h4_notopp__be_1_0r,all_first120,session_reversal_pullback_all_symbols_first120,0,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_1_0r_2025.ini,527,197,0.3738140417457306,-1308.8799999999999,4407.859999999999,-5716.739999999998,0.7710443364574916,-57.59549999999999,-0.10928937381404172,0.7782722982716979,1420.9899999999998,14.209899999999998,-0.921104300522875,220,0.4174573055028463,108,0.2049335863377609,18,0.03415559772296015,110,0.20872865275142316,179,0.3396584440227704,0.7390455407969634,0.7710351043643271,False,True,False
