decision_seconds,horizon_seconds,action,rows,tp,sl,timeout,tp_rate,median_touch_seconds,spread_only_expectancy,stress_expectancy
60,300,CONTINUATION,1675,57,242,1376,0.03402985074626866,300.339,-0.25901108574328363,-0.3455309199402985
60,300,REVERSAL,1675,44,224,1407,0.02626865671641791,300.351,-0.2469769596716418,-0.33328395149253737
60,600,CONTINUATION,1675,131,416,1128,0.07820895522388059,600.183,-0.2570201341850746,-0.3438379946447761
60,600,REVERSAL,1675,121,402,1152,0.07223880597014926,600.206,-0.2518050911283582,-0.338191153080597
60,900,CONTINUATION,1675,187,523,965,0.11164179104477612,900.108,-0.2580751639044776,-0.3449602039283582
60,900,REVERSAL,1675,171,511,993,0.10208955223880598,900.133,-0.24099129503880598,-0.32747566391044775
120,300,CONTINUATION,1655,32,169,1454,0.01933534743202417,300.351,-0.24814046270694867,-0.3346730198126888
120,300,REVERSAL,1655,27,176,1452,0.016314199395770394,300.343,-0.2609871083141994,-0.3476618283323263
120,600,CONTINUATION,1655,113,367,1175,0.06827794561933535,600.204,-0.24721593056193353,-0.3340779372870091
120,600,REVERSAL,1655,100,404,1151,0.06042296072507553,600.199,-0.2810994209667674,-0.3678914907190332
120,900,CONTINUATION,1655,176,477,1002,0.10634441087613293,900.145,-0.24663073361329307,-0.33351783749848946
120,900,REVERSAL,1655,152,512,991,0.09184290030211481,900.145,-0.277148396858006,-0.3641897220302115
