time,event,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,entry_pattern,entry_trigger,neckline_level,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_price,nearest_obstacle_distance_r,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,obstacle_block_reason,obstacle_count_before_target,hard_obstacle_count_before_target,soft_obstacle_count_before_target,target_reward_multiple,target_price,entry_price,stop_loss_price,initial_risk_price_distance,take_profit,reward_r,atr,spread_points,score,result_r,failure_type,session_invalidated,invalidation_reason,reason
2025.01.02 16:15:00,signal,overlap_first120_reference,USDJPY,SHORT,2025.01.02 16:00:00,16,13,22,london_newyork_overlap,2025.01.02 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,157.01200000,157.01200000,156.77900000,156.77900000,session_low,0.23000000,0.9957,false,true,true,false,not_blocked,5,4,1,1.50,156.66200000,157.00900000,157.24000000,0.23100000,156.66200000,1.502,0.17857143,19.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.02 16:15:00,blocked,overlap_first120_reference,USDJPY,SHORT,2025.01.02 16:00:00,16,13,22,london_newyork_overlap,2025.01.02 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,157.01200000,157.01200000,156.77900000,156.77900000,session_low,0.23000000,0.9957,false,true,true,false,not_blocked,5,4,1,1.50,156.66200000,157.00900000,157.24000000,0.23100000,156.66200000,1.502,0.17857143,19.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.03 16:15:00,signal,overlap_first120_reference,GBPJPY,SHORT,2025.01.03 16:00:00,16,13,22,london_newyork_overlap,2025.01.03 13:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,194.96100000,194.91635294,194.82300000,194.82300000,session_low,0.05500000,0.1515,false,true,true,false,not_blocked,7,5,2,1.50,194.33300000,194.87800000,195.24100000,0.36300000,194.33300000,1.501,0.13342857,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.03 16:15:00,blocked,overlap_first120_reference,GBPJPY,SHORT,2025.01.03 16:00:00,16,13,22,london_newyork_overlap,2025.01.03 13:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,194.96100000,194.91635294,194.82300000,194.82300000,session_low,0.05500000,0.1515,false,true,true,false,not_blocked,7,5,2,1.50,194.33300000,194.87800000,195.24100000,0.36300000,194.33300000,1.501,0.13342857,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.06 16:15:00,signal,overlap_first120_reference,GBPJPY,SHORT,2025.01.06 16:00:00,16,13,22,london_newyork_overlap,2025.01.06 13:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,196.45600000,196.42400000,196.34400000,196.34400000,wick_cluster_zone,0.04500000,0.0506,false,true,true,false,not_blocked,12,7,5,1.50,195.05400000,196.38900000,197.27900000,0.89000000,195.05400000,1.500,0.32850000,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.06 16:15:00,order_sent,overlap_first120_reference,GBPJPY,SHORT,2025.01.06 16:00:00,16,13,22,london_newyork_overlap,2025.01.06 13:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,196.45600000,196.42400000,196.34400000,196.34400000,wick_cluster_zone,0.04500000,0.0506,false,true,true,false,not_blocked,12,7,5,1.50,195.05400000,196.38900000,197.27900000,0.89000000,195.05400000,1.500,0.32850000,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.07 16:15:00,signal,overlap_first120_reference,USDJPY,SHORT,2025.01.07 16:00:00,16,13,22,london_newyork_overlap,2025.01.07 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,157.67800000,157.67800000,157.63833333,157.63833333,recent_equal_lows,0.01266667,0.0750,false,true,true,false,not_blocked,6,3,3,1.50,157.39800000,157.65100000,157.82000000,0.16900000,157.39800000,1.497,0.11057143,17.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.07 16:15:00,order_sent,overlap_first120_reference,USDJPY,SHORT,2025.01.07 16:00:00,16,13,22,london_newyork_overlap,2025.01.07 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,157.67800000,157.67800000,157.63833333,157.63833333,recent_equal_lows,0.01266667,0.0750,false,true,true,false,not_blocked,6,3,3,1.50,157.39800000,157.65100000,157.82000000,0.16900000,157.39800000,1.497,0.11057143,17.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.08 16:15:00,signal,overlap_first120_reference,USDJPY,SHORT,2025.01.08 16:00:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,158.26700000,158.26700000,158.23700000,158.23700000,h1_confirmed_swing_high,0.01400000,0.0450,false,true,true,false,not_blocked,11,7,4,1.50,157.78500000,158.25100000,158.56200000,0.31100000,157.78500000,1.498,0.12535714,17.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.08 16:15:00,order_sent,overlap_first120_reference,USDJPY,SHORT,2025.01.08 16:00:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,158.26700000,158.26700000,158.23700000,158.23700000,h1_confirmed_swing_high,0.01400000,0.0450,false,true,true,false,not_blocked,11,7,4,1.50,157.78500000,158.25100000,158.56200000,0.31100000,157.78500000,1.498,0.12535714,17.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
