entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,entry_pattern,entry_trigger,neckline_level,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id
2025.01.28 03:15:00,2025.01.28 09:15:00,target_multiple_1_2_reference,EURJPY,LONG,2025.01.28 03:00:00,3,0,9,tokyo,2025.01.28 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,162.01100000,162.50000000,162.37100000,162.50000000,round_number,0.2112,false,false,true,false,1.20,163.02900000,162.38700000,162.53200000,161.85200000,163.02900000,0.53500000,0.2710,6.52,0.00,0.00,6.52,0.070,1.200,24,0.17828571,30.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,2
2025.02.10 16:15:00,2025.02.10 20:55:06,target_multiple_1_2_reference,USDJPY,SHORT,2025.02.10 16:00:00,16,13,22,london_newyork_overlap,2025.02.10 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,151.76100000,151.76100000,151.50000000,151.50000000,round_number,0.7349,false,false,true,false,1.20,151.34500000,151.74400000,152.07600000,152.07600000,151.34500000,0.33200000,-1.0000,-24.01,0.00,0.00,-24.01,0.110,1.202,18,0.11071429,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,4
2025.04.15 03:15:00,2025.04.15 07:40:36,target_multiple_1_2_reference,USDJPY,LONG,2025.04.15 03:00:00,3,0,9,tokyo,2025.04.15 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,143.32400000,143.50000000,143.35700000,143.50000000,round_number,0.3784,false,false,true,false,1.20,143.80400000,143.36000000,142.98400000,142.99000000,143.80400000,0.37000000,-1.0162,-26.30,0.00,0.00,-26.30,0.100,1.200,17,0.12321429,17.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,6
2025.05.06 19:15:00,2025.05.06 20:07:54,target_multiple_1_2_reference,USDJPY,LONG,2025.05.06 19:00:00,19,16,1,new_york,2025.05.06 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,142.88500000,143.50000000,142.96800000,0.00000000,none,0.0000,true,false,false,false,1.20,143.46000000,142.98600000,142.59100000,142.59100000,143.46000000,0.39500000,-1.0000,-24.93,0.00,0.00,-24.93,0.090,1.200,3,0.17157143,21.00,5.050,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,8
2025.05.20 16:15:00,2025.05.20 17:14:30,target_multiple_1_2_reference,USDJPY,LONG,2025.05.20 16:00:00,16,13,22,london_newyork_overlap,2025.05.20 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,144.82300000,145.00000000,144.91600000,145.00000000,round_number,0.2432,false,false,true,false,1.20,145.31500000,144.92000000,144.58600000,144.59100000,145.31500000,0.32900000,-1.0152,-23.10,0.00,0.00,-23.10,0.100,1.201,3,0.10978571,19.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,10
2025.07.17 03:15:00,2025.07.17 06:21:52,target_multiple_1_2_reference,USDJPY,LONG,2025.07.17 03:00:00,3,0,9,tokyo,2025.07.17 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,148.00400000,148.50000000,148.16400000,148.50000000,round_number,1.0774,false,false,true,false,1.20,148.53900000,148.16600000,148.54300000,147.85600000,148.53900000,0.31000000,1.2161,27.92,0.00,0.00,27.92,0.110,1.203,12,0.10350000,15.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,12
2025.07.22 03:15:00,2025.07.22 03:32:19,target_multiple_1_2_reference,USDJPY,LONG,2025.07.22 03:00:00,3,0,9,tokyo,2025.07.22 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,147.46200000,148.00000000,147.69700000,148.00000000,round_number,1.1560,false,false,true,false,1.20,148.01100000,147.71100000,147.45800000,147.46100000,148.01100000,0.25000000,-1.0120,-24.02,0.00,0.00,-24.02,0.140,1.200,1,0.08342857,15.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,14
2025.07.22 19:15:00,2025.07.23 01:15:00,target_multiple_1_2_reference,EURJPY,LONG,2025.07.22 19:00:00,19,16,1,new_york,2025.07.22 16:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,171.89400000,172.18000000,172.06100000,172.18000000,wick_cluster_zone,0.1035,false,false,true,false,1.20,172.77300000,172.12400000,172.30200000,171.58300000,172.77300000,0.54100000,0.3290,7.24,0.00,0.07,7.31,0.060,1.200,24,0.18021429,30.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,16
2025.07.31 19:15:00,2025.08.01 01:15:00,target_multiple_1_2_reference,USDJPY,LONG,2025.07.31 19:00:00,19,16,1,new_york,2025.07.31 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,150.59100000,151.00000000,150.76900000,151.00000000,round_number,0.5185,false,false,true,false,1.20,151.29500000,150.77600000,150.75300000,150.34400000,151.29500000,0.43200000,-0.0532,-1.22,0.00,0.40,-0.82,0.080,1.201,24,0.15250000,15.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,18
2025.10.06 16:15:00,2025.10.06 17:32:30,target_multiple_1_2_reference,USDJPY,LONG,2025.10.06 16:00:00,16,13,22,london_newyork_overlap,2025.10.06 13:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,sweep_low_reclaim,sweep_reclaim_retest,149.82600000,149.98050000,149.88000000,149.98050000,recent_equal_highs,0.5029,false,false,true,false,1.20,150.10100000,149.89300000,150.10300000,149.71900000,150.10100000,0.17400000,1.2069,29.38,0.00,0.00,29.38,0.210,1.195,5,0.14764286,15.00,3.600,other,false,not_invalidated,DEAL_REASON_TP,20
