period,variant,fx_vs_xauusd,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,FX,56,24,32,42.86,156.64,1.094,2.8,0.06,408.86,3.9,8,-408.86,156.64,0,5.15,151.49,0.0,48.21,3.041,4.561,0.1602,0.4344,48.42,2.88,0.276,0.69
2024,current_thirdwave_current_sl_1_5R,XAUUSD,122,54,68,44.26,557.61,1.161,4.57,0.13,531.98,5.01,5,-267.41,0,557.61,537.73,19.88,100.0,64.75,3.163,4.744,0.1234,0.4899,54.85,3.031,0.122,0.36
2024,v4_micro_or_candle_lower_tf_sl_1_2R,FX,80,35,45,43.75,-159.16,0.927,-1.99,-0.038,339.47,3.35,5,-248.11,-159.16,0,-3.74,-155.42,0.0,43.75,2.181,2.617,0.1676,0.5222,57.38,2.229,0.321,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,160,74,86,46.25,-263.19,0.937,-1.64,0.016,1120.56,10.9,10,-491.28,0,-263.19,-45.79,-217.4,100.0,63.75,2.411,2.893,0.1224,0.4898,56.09,2.448,0.14,0.42
2024,v4_micro_or_candle_lower_tf_sl_1_3R,FX,79,34,45,43.04,-60.79,0.972,-0.77,-0.013,356.75,3.49,5,-248.11,-60.79,0,120.02,-180.81,0.0,43.04,2.172,2.824,0.1674,0.5236,57.54,2.223,0.322,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,159,70,89,44.03,-306.26,0.929,-1.93,0.011,998.2,9.89,10,-488.89,0,-306.26,1.69,-307.95,100.0,63.52,2.413,3.136,0.1224,0.4877,56.11,2.451,0.14,0.42
2024,v4_without_weak_lower_tf_sl_1_3R,FX,106,42,64,39.62,-451.51,0.852,-4.26,-0.084,529.3,5.25,7,-341.41,-451.51,0,112.84,-564.35,0.0,32.08,2.145,2.788,0.1651,0.4786,56.5,2.161,0.308,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,179,77,102,43.02,-460.37,0.903,-2.57,-0.012,1119.92,11.11,11,-518.58,0,-460.37,40.62,-500.99,100.0,56.42,2.346,3.05,0.1226,0.4886,56.3,2.364,0.144,0.52
2025,current_thirdwave_current_sl_1_5R,FX,65,23,42,35.38,-410.82,0.802,-6.32,-0.117,784.23,7.72,9,-455.23,-410.82,0,-210.91,-199.91,0.0,44.62,2.876,4.314,0.1562,0.4313,56.72,2.719,0.218,0.8
2025,current_thirdwave_current_sl_1_5R,XAUUSD,204,83,121,40.69,-21.16,0.996,-0.1,0.025,725.27,6.83,7,-341.98,0,-21.16,-339.61,318.45,100.0,64.22,3.23,4.844,0.0808,0.4859,54.69,3.12,0.067,0.26
2025,v4_micro_or_candle_lower_tf_sl_1_2R,FX,90,40,50,44.44,-83.16,0.967,-0.92,-0.012,493.71,4.9,6,-309.31,-83.16,0,264.82,-347.98,0.0,35.56,2.243,2.691,0.1616,0.4363,56.91,2.213,0.328,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,247,123,124,49.8,926.77,1.153,3.75,0.101,411.64,3.91,5,-259.22,0,926.77,1124.41,-197.64,100.0,63.16,2.421,2.905,0.0762,0.4836,54.93,2.4,0.089,0.38
2025,v4_micro_or_candle_lower_tf_sl_1_3R,FX,89,36,53,40.45,-284.66,0.892,-3.2,-0.058,686.75,6.82,6,-305.78,-284.66,0,172.12,-456.78,0.0,34.83,2.221,2.887,0.1613,0.4346,57.23,2.193,0.324,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,246,118,128,47.97,1009.51,1.164,4.1,0.109,500.11,4.48,5,-259.22,0,1009.51,1103.14,-93.63,100.0,63.01,2.423,3.15,0.076,0.4851,54.94,2.403,0.087,0.38
2025,v4_without_weak_lower_tf_sl_1_3R,FX,120,47,73,39.17,-520.63,0.855,-4.34,-0.082,897.19,8.92,10,-480.41,-520.63,0,175.32,-695.95,0.0,25.83,2.223,2.89,0.1595,0.4303,56.56,2.133,0.311,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,268,132,136,49.25,1638.98,1.248,6.12,0.15,504.13,4.26,6,-291.55,0,1638.98,1091.96,547.02,100.0,57.84,2.411,3.134,0.0769,0.462,55.03,2.344,0.091,0.37
2026YTD,current_thirdwave_current_sl_1_5R,FX,10,4,6,40.0,9.64,1.032,0.96,0.011,101.21,1.01,2,-101.21,9.64,0,-49.77,59.41,0.0,10.0,2.658,3.987,0.1625,0.4602,66.96,2.494,0.237,0.44
2026YTD,current_thirdwave_current_sl_1_5R,XAUUSD,85,40,45,47.06,856.11,1.398,10.07,0.179,250.43,2.38,4,-176.67,0,856.11,153.77,702.34,100.0,42.35,2.962,4.443,0.0443,0.4293,56.85,2.86,0.033,0.11
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,FX,19,12,7,63.16,406.18,2.042,21.38,0.416,169.59,1.6,3,-169.59,406.18,0,-171.04,577.22,0.0,26.32,2.083,2.5,0.163,0.4708,60.16,1.853,0.298,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,103,51,52,49.51,515.48,1.194,5.0,0.097,561.64,5.1,6,-313.24,0,515.48,152.31,363.17,100.0,37.86,2.451,2.942,0.0439,0.4003,56.25,2.503,0.038,0.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,FX,19,11,8,57.89,334.04,1.747,17.58,0.348,169.59,1.61,3,-169.59,334.04,0,-165.3,499.34,0.0,26.32,2.083,2.708,0.163,0.4708,60.16,1.853,0.299,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,103,48,55,46.6,450.8,1.163,4.38,0.075,765.33,6.87,6,-270.45,0,450.8,97.63,353.17,100.0,37.86,2.432,3.161,0.044,0.4014,56.51,2.471,0.037,0.1
2026YTD,v4_without_weak_lower_tf_sl_1_3R,FX,26,13,13,50.0,216.14,1.308,8.31,0.161,217.38,2.08,4,-217.38,216.14,0,-161.74,377.88,0.0,19.23,2.119,2.754,0.1708,0.4573,57.65,1.938,0.327,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,XAUUSD,121,56,65,46.28,458.75,1.144,3.79,0.057,673.55,6.1,5,-253.57,0,458.75,119.97,338.78,100.0,32.23,2.396,3.115,0.0429,0.3934,55.73,2.425,0.037,0.11
