variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,largest_direction_share_pct,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,avg_lot_size,max_lot_size,avg_risk_amount
current_thirdwave_current_sl_1_5R,EURJPY,1,1,0,100.0,75.07,,75.07,1.502,0.0,0.0,0,0.0,75.07,0,75.07,0,0.0,100.0,237.0,1.48,355.5,2.22,0.32,0.32,49.98
current_thirdwave_current_sl_1_5R,EURUSD,3,2,1,66.67,110.22,3.135,36.74,0.712,51.62,0.51,1,-51.62,110.22,0,0,110.22,0.0,100.0,163.0,2.207,244.5,3.31,0.33,0.44,51.57
current_thirdwave_current_sl_1_5R,GBPUSD,3,1,2,33.33,-21.29,0.783,-7.1,-0.168,98.09,0.97,2,-98.09,-21.29,0,0,-21.29,0.0,100.0,331.3,2.89,497.0,4.335,0.18,0.3,49.8
current_thirdwave_current_sl_1_5R,USDJPY,11,5,6,45.45,77.33,1.259,7.03,0.137,123.25,1.21,2,-100.55,77.33,0,51.62,25.71,0.0,63.64,365.0,2.836,547.5,4.255,0.276,0.8,49.32
current_thirdwave_current_sl_1_5R,XAUUSD,91,44,47,48.35,1047.63,1.481,11.51,0.217,311.85,3.0,5,-247.81,0,1047.63,364.03,683.6,100.0,60.44,1996.9,3.242,2995.3,4.863,0.047,0.19,47.01
v4_micro_or_candle_current_sl_1_5R,EURJPY,1,1,0,100.0,80.06,,80.06,1.5,0.0,0.0,0,0.0,80.06,0,0,80.06,0.0,100.0,480.0,1.56,720.0,2.34,0.17,0.17,53.37
v4_micro_or_candle_current_sl_1_5R,EURUSD,4,2,2,50.0,53.96,1.478,13.49,0.248,112.86,1.12,2,-112.86,53.96,0,0,53.96,0.0,100.0,154.8,2.013,232.1,3.019,0.407,0.6,55.5
v4_micro_or_candle_current_sl_1_5R,GBPJPY,5,1,4,20.0,-127.78,0.393,-25.56,-0.512,153.95,1.54,3,-153.95,-127.78,0,-108.49,-19.29,0.0,60.0,354.8,1.372,532.2,2.058,0.288,0.46,52.52
v4_micro_or_candle_current_sl_1_5R,GBPUSD,4,1,3,25.0,-79.21,0.503,-19.8,-0.38,103.01,1.03,2,-103.01,-79.21,0,-52.47,-26.74,0.0,75.0,250.8,2.107,376.1,3.161,0.235,0.33,52.85
v4_micro_or_candle_current_sl_1_5R,USDJPY,18,9,9,50.0,209.45,1.453,11.64,0.255,226.36,2.23,4,-201.63,209.45,0,100.03,109.42,0.0,83.33,286.9,2.642,430.4,3.963,0.324,0.82,50.15
v4_micro_or_candle_current_sl_1_5R,XAUUSD,110,53,57,48.18,1506.8,1.551,13.7,0.212,411.63,3.47,9,-409.34,0,1506.8,577.7,929.1,100.0,59.09,2016.0,2.41,3024.0,3.615,0.064,0.34,49.77
v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,4,4,0,100.0,264.13,,66.03,1.2,0.0,0.0,0,0.0,264.13,0,0,264.13,0.0,100.0,168.5,2.197,202.2,2.637,0.378,0.61,55.04
v4_micro_or_candle_lower_tf_sl_1_2R,GBPJPY,5,2,3,40.0,-29.33,0.813,-5.87,-0.112,100.77,1.01,2,-100.77,-29.33,0,-107.3,77.97,0.0,60.0,385.4,1.528,462.5,1.834,0.262,0.44,52.2
v4_micro_or_candle_lower_tf_sl_1_2R,GBPUSD,4,2,2,50.0,20.24,1.193,5.06,0.103,54.36,0.54,1,-50.38,20.24,0,60.16,-39.92,0.0,75.0,229.5,1.938,275.4,2.325,0.26,0.36,52.08
v4_micro_or_candle_lower_tf_sl_1_2R,USDJPY,16,10,6,62.5,294.04,1.96,18.38,0.384,204.55,2.02,4,-204.55,294.04,0,71.52,222.52,0.0,81.25,273.9,2.489,328.7,2.987,0.338,0.6,49.86
v4_micro_or_candle_lower_tf_sl_1_2R,XAUUSD,102,58,44,56.86,1417.39,1.68,13.9,0.275,318.35,2.73,4,-183.66,0,1417.39,702.19,715.2,100.0,56.86,1872.8,2.421,2247.4,2.906,0.061,0.32,47.84
v4_micro_or_candle_lower_tf_sl_1_3R,EURUSD,4,3,1,75.0,161.97,3.91,40.49,0.725,55.66,0.55,1,-55.66,161.97,0,0,161.97,0.0,100.0,168.5,2.197,219.1,2.857,0.38,0.61,55.66
v4_micro_or_candle_lower_tf_sl_1_3R,GBPJPY,5,2,3,40.0,-17.97,0.883,-3.59,-0.08,97.77,0.98,2,-97.77,-17.97,0,-104.33,86.36,0.0,60.0,385.4,1.528,501.0,1.986,0.26,0.44,51.6
v4_micro_or_candle_lower_tf_sl_1_3R,GBPUSD,4,2,2,50.0,29.25,1.275,7.31,0.154,55.87,0.55,1,-50.38,29.25,0,65.92,-36.67,0.0,75.0,229.5,1.938,298.3,2.519,0.263,0.37,52.46
v4_micro_or_candle_lower_tf_sl_1_3R,USDJPY,16,9,7,56.25,221.44,1.619,13.84,0.293,203.54,2.03,4,-203.54,221.44,0,79.96,141.48,0.0,81.25,273.9,2.489,356.0,3.235,0.337,0.6,50.02
v4_micro_or_candle_lower_tf_sl_1_3R,XAUUSD,100,55,45,55.0,1473.97,1.692,14.74,0.289,325.31,2.77,4,-183.66,0,1473.97,672.56,801.41,100.0,57.0,1871.9,2.425,2433.5,3.152,0.06,0.32,47.83
v4_micro_or_candle_lower_tf_sl_1_5R,EURUSD,4,2,2,50.0,52.1,1.478,13.02,0.249,108.9,1.08,2,-108.9,52.1,0,0,52.1,0.0,100.0,168.5,2.197,252.8,3.296,0.365,0.58,53.52
v4_micro_or_candle_lower_tf_sl_1_5R,GBPJPY,5,1,4,20.0,-125.69,0.378,-25.14,-0.502,146.92,1.47,3,-146.92,-125.69,0,-102.97,-22.72,0.0,60.0,385.4,1.528,578.1,2.292,0.256,0.44,50.46
v4_micro_or_candle_lower_tf_sl_1_5R,GBPUSD,4,1,3,25.0,-75.54,0.515,-18.89,-0.378,101.26,1.01,2,-101.26,-75.54,0,-50.88,-24.66,0.0,75.0,229.5,1.938,344.2,2.906,0.26,0.36,52.08
v4_micro_or_candle_lower_tf_sl_1_5R,USDJPY,15,7,8,46.67,112.8,1.278,7.52,0.172,201.67,2.01,4,-201.67,112.8,0,103.19,9.61,0.0,80.0,273.4,2.41,410.1,3.615,0.341,0.59,49.71
v4_micro_or_candle_lower_tf_sl_1_5R,XAUUSD,99,49,50,49.49,1310.73,1.571,13.24,0.254,320.99,2.77,5,-243.89,0,1310.73,643.15,667.58,100.0,56.57,1882.6,2.432,2824.0,3.648,0.059,0.32,46.56
v4_without_weak_lower_tf_sl_1_2R,EURUSD,6,5,1,83.33,273.67,6.011,45.61,0.836,54.61,0.55,1,-54.61,273.67,0,0,273.67,0.0,100.0,131.2,1.775,157.4,2.13,0.502,1.0,54.46
v4_without_weak_lower_tf_sl_1_2R,GBPJPY,5,2,3,40.0,-32.67,0.792,-6.53,-0.111,100.77,1.01,2,-100.77,-32.67,0,-107.3,74.63,0.0,60.0,378.4,1.522,454.1,1.826,0.262,0.44,51.6
v4_without_weak_lower_tf_sl_1_2R,GBPUSD,6,2,4,33.33,-86.71,0.59,-14.45,-0.267,161.31,1.6,3,-161.31,-86.71,0,60.16,-146.87,0.0,83.33,271.2,2.483,325.4,2.98,0.217,0.32,52.41
v4_without_weak_lower_tf_sl_1_2R,USDJPY,23,11,12,47.83,47.41,1.077,2.06,0.061,205.04,2.03,4,-205.04,47.41,0,71.52,-24.11,0.0,86.96,265.6,2.373,318.7,2.847,0.344,0.61,50.22
v4_without_weak_lower_tf_sl_1_2R,XAUUSD,118,68,50,57.63,1825.79,1.785,15.47,0.282,312.26,2.59,4,-163.26,0,1825.79,707.44,1118.35,100.0,50.85,1913.5,2.366,2296.2,2.839,0.063,0.33,48.15
v4_without_weak_lower_tf_sl_1_3R,EURUSD,6,5,1,83.33,304.82,6.582,50.8,0.921,54.61,0.55,1,-54.61,304.82,0,0,304.82,0.0,100.0,132.5,1.787,172.2,2.323,0.5,1.0,54.87
v4_without_weak_lower_tf_sl_1_3R,GBPJPY,5,2,3,40.0,-24.95,0.841,-4.99,-0.081,100.76,1.01,2,-100.76,-24.95,0,-107.32,82.37,0.0,60.0,378.4,1.522,491.9,1.979,0.262,0.44,51.6
v4_without_weak_lower_tf_sl_1_3R,GBPUSD,6,2,4,33.33,-76.19,0.64,-12.7,-0.233,161.31,1.6,3,-161.31,-76.19,0,65.92,-142.11,0.0,83.33,271.2,2.483,352.5,3.228,0.217,0.32,52.41
v4_without_weak_lower_tf_sl_1_3R,USDJPY,23,11,12,47.83,98.15,1.16,4.27,0.104,205.04,2.03,4,-205.04,98.15,0,79.96,18.19,0.0,86.96,265.6,2.373,345.2,3.084,0.344,0.61,50.24
v4_without_weak_lower_tf_sl_1_3R,XAUUSD,114,63,51,55.26,1700.1,1.714,14.91,0.282,305.11,2.55,4,-163.26,0,1700.1,702.51,997.59,100.0,50.0,1874.8,2.375,2437.2,3.087,0.061,0.33,47.67
