time,symbol,direction,higher_tf_trend,mid_tf_pullback_status,lower_tf_reversal_status,setup_pass,entry_pass,final_entry_pass,skip_reason,structure_stage_fail_reason,execution_block_reason,higher_tf_trend_pass,mid_tf_pullback_pass,lower_tf_reversal_pass,structure_sl_pass,rr_pass,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,entry_price,sl,tp,risk_r,rr,swing_high,swing_low,structure_sl_source,strategy_name
2026.01.02 02:04:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.2909,0.2000,false,true,16.0,0.055,156.734,156.896,0.000,0.162,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 02:04:59,AUDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_close,sl_too_close,,true,true,true,false,false,0.4834,0.2000,false,true,28.0,0.058,104.665,104.614,0.000,-0.051,0.00,104.586,104.406,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 02:14:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.2503,0.2000,false,true,16.0,0.064,156.692,156.896,0.000,0.204,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 02:14:59,AUDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_close,sl_too_close,,true,true,true,false,false,0.5248,0.2000,false,true,28.0,0.053,104.660,104.614,0.000,-0.046,0.00,104.586,104.406,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 02:54:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.5335,0.2000,false,true,25.0,0.047,156.546,156.905,0.000,0.359,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 02:59:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.3958,0.2000,false,true,19.0,0.048,156.560,156.899,0.000,0.339,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 03:04:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed,true,true,true,,,,true,true,true,true,true,0.0432,0.2000,true,false,19.0,4.40,4348.20,4341.04,4358.94,7.16,1.50,4353.44,4341.47,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 03:04:59,XAUUSD,LONG,up,valid_higher_low,minor_high_reclaimed,true,true,true,,,,true,true,true,true,true,0.0432,0.2000,true,false,19.0,4.40,4348.20,4341.04,4358.94,7.16,1.50,4353.44,4341.47,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 03:09:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.3328,0.2000,false,true,16.0,0.048,156.527,156.896,0.000,0.369,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 03:14:59,USDJPY,SHORT,down,valid_lower_high,minor_low_broken,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.3384,0.2000,false,true,16.0,0.047,156.588,156.896,0.000,0.308,0.00,156.880,156.605,mid_fractal_high,DowFractal_ThirdWave
2026.01.02 03:49:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.6812,0.2000,false,true,38.0,0.056,211.250,210.965,0.000,0.285,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 03:54:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.6909,0.2000,false,true,38.0,0.055,211.272,210.965,0.000,0.307,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 03:59:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.6717,0.2000,false,true,38.0,0.057,211.281,210.965,0.000,0.316,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 04:04:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.6821,0.2000,false,true,38.0,0.056,211.294,210.965,0.000,0.329,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 04:09:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.7084,0.2000,false,true,38.0,0.054,211.306,210.965,0.000,0.341,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 04:14:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.7189,0.2000,false,true,38.0,0.053,211.297,210.965,0.000,0.332,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 04:59:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.2271,0.2000,false,true,44.0,0.036,211.358,210.959,0.000,0.399,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:04:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.0683,0.2000,false,true,38.0,0.036,211.354,210.965,0.000,0.389,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:09:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.2412,0.2000,false,true,43.0,0.035,211.391,210.960,0.000,0.431,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:14:59,GBPJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.1060,0.2000,false,true,38.0,0.034,211.381,210.965,0.000,0.416,0.00,211.336,211.003,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:19:59,EURJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.0448,0.2000,false,true,30.0,0.029,184.337,184.103,0.000,0.234,0.00,184.271,184.133,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:24:59,EURJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,1.0526,0.2000,false,true,30.0,0.029,184.323,184.103,0.000,0.220,0.00,184.271,184.133,mid_fractal_low,DowFractal_ThirdWave
2026.01.02 05:49:59,EURJPY,LONG,up,valid_higher_low,minor_high_reclaimed,true,false,false,sl_too_wide,sl_too_wide,,true,true,true,false,false,0.9722,0.2000,false,true,30.0,0.031,184.359,184.103,0.000,0.256,0.00,184.271,184.133,mid_fractal_low,DowFractal_ThirdWave
