enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
cond_h4_bias_ma;cond_h1_prev_extreme_break;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
cond_h4_bias_ma;cond_h1_counter_nwave;cond_h1_counter_wave_atr,3,18,18,50.0,1.892,0.477,368.85,105.98,1.01,1.453,0.912,66.67,44.44,117.38,251.47,105.83,263.02,6,4,2025-02:2;2025-08:4;2025-10:2;2026-Q1:10,AUDJPY:2;EURJPY:1;EURUSD:1;GBPUSD:3;USDJPY:8;XAUUSD:3,LONG:5;SHORT:13
cond_h4_bias_ma;cond_h1_counter_nwave;cond_true_bos_level,3,18,18,50.0,1.892,0.477,368.85,105.98,1.01,1.453,0.912,66.67,44.44,117.38,251.47,105.83,263.02,6,4,2025-02:2;2025-08:4;2025-10:2;2026-Q1:10,AUDJPY:2;EURJPY:1;EURUSD:1;GBPUSD:3;USDJPY:8;XAUUSD:3,LONG:5;SHORT:13
cond_h4_bias_ma;cond_h1_counter_nwave;cond_m15_prev_extreme_bos,3,15,15,46.67,1.776,0.45,281.51,203.64,1.94,1.434,0.999,60.0,46.67,30.04,251.47,65.58,215.93,5,4,2025-02:2;2025-08:3;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;GBPUSD:3;USDJPY:7;XAUUSD:3,LONG:4;SHORT:11
cond_h4_bias_ma;cond_h1_counter_nwave;cond_room_to_2r,3,12,12,50.0,1.904,0.497,271.71,105.98,1.02,1.392,1.044,58.33,50.0,189.96,81.75,-3.15,274.86,6,3,2025-02:2;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;EURUSD:1;GBPUSD:2;USDJPY:6;XAUUSD:1,LONG:3;SHORT:9
cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_true_bos_level,3,27,27,44.44,1.516,0.317,363.89,195.56,1.86,1.361,0.903,55.56,40.74,17.77,346.12,-44.8,408.69,6,4,2025-02:3;2025-08:7;2025-10:3;2026-Q1:14,AUDJPY:2;EURJPY:3;EURUSD:3;GBPUSD:4;USDJPY:11;XAUUSD:4,LONG:11;SHORT:16
cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos,3,21,21,38.1,1.219,0.177,132.95,297.51,2.85,1.284,0.999,47.62,38.1,-213.17,346.12,-131.45,264.4,6,4,2025-02:2;2025-08:6;2025-10:2;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:4;USDJPY:9;XAUUSD:4,LONG:8;SHORT:13
cond_h4_bias_ma;cond_h1_counter_wave_atr;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
cond_h4_bias_ma;cond_true_bos_level;cond_m15_prev_extreme_bos,3,22,22,40.91,1.366,0.26,222.13,297.51,2.85,1.321,0.979,50.0,40.91,-123.99,346.12,-131.45,353.58,6,4,2025-02:2;2025-08:6;2025-10:2;2026-Q1:12,AUDJPY:2;EURJPY:2;EURUSD:1;GBPUSD:4;USDJPY:9;XAUUSD:4,LONG:8;SHORT:14
cond_h4_bias_ma;cond_true_bos_level;cond_room_to_2r,3,15,15,53.33,2.187,0.598,413.44,147.81,1.41,1.572,0.967,60.0,53.33,237.04,176.4,43.93,369.51,6,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:11,AUDJPY:1;EURJPY:2;EURUSD:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:5;SHORT:10
cond_h4_bias_ma;cond_m15_prev_extreme_bos;cond_room_to_2r,3,13,13,46.15,1.634,0.381,221.01,251.33,2.4,1.443,1.052,53.85,46.15,44.61,176.4,-50.84,271.85,5,4,2025-02:2;2025-08:1;2025-10:1;2026-Q1:9,AUDJPY:1;EURJPY:1;GBPUSD:3;USDJPY:6;XAUUSD:2,LONG:4;SHORT:9
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_nwave,3,9,9,44.44,1.414,0.329,104.57,184.04,1.79,1.499,1.274,66.67,44.44,-150.45,255.02,-85.06,189.63,3,3,2025-02:1;2025-08:1;2026-Q1:7,EURUSD:1;USDJPY:5;XAUUSD:3,LONG:4;SHORT:5
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_h1_counter_wave_atr,3,11,11,45.45,1.497,0.358,150.87,184.04,1.78,1.463,1.188,63.64,45.45,-104.15,255.02,-135.96,286.83,3,3,2025-02:2;2025-08:2;2026-Q1:7,EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:6
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_true_bos_level,3,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_m15_prev_extreme_bos,3,8,8,62.5,2.943,0.869,294.8,51.48,0.5,1.611,0.981,62.5,62.5,39.78,255.02,-82.99,377.79,3,3,2025-02:1;2025-08:2;2026-Q1:5,AUDJPY:1;USDJPY:4;XAUUSD:3,LONG:4;SHORT:4
cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_room_to_2r,3,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_counter_nwave;cond_h1_counter_wave_atr,3,9,9,44.44,1.414,0.329,104.57,184.04,1.79,1.499,1.274,66.67,44.44,-150.45,255.02,-85.06,189.63,3,3,2025-02:1;2025-08:1;2026-Q1:7,EURUSD:1;USDJPY:5;XAUUSD:3,LONG:4;SHORT:5
cond_h4_fib_382_618;cond_h1_counter_nwave;cond_true_bos_level,3,9,9,44.44,1.414,0.329,104.57,184.04,1.79,1.499,1.274,66.67,44.44,-150.45,255.02,-85.06,189.63,3,3,2025-02:1;2025-08:1;2026-Q1:7,EURUSD:1;USDJPY:5;XAUUSD:3,LONG:4;SHORT:5
cond_h4_fib_382_618;cond_h1_counter_nwave;cond_m15_prev_extreme_bos,3,6,6,66.67,3.544,0.994,256.52,51.48,0.5,1.743,1.01,66.67,66.67,1.5,255.02,-32.09,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:4,USDJPY:3;XAUUSD:3,LONG:3;SHORT:3
cond_h4_fib_382_618;cond_h1_counter_nwave;cond_room_to_2r,3,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_true_bos_level,3,11,11,45.45,1.497,0.358,150.87,184.04,1.78,1.463,1.188,63.64,45.45,-104.15,255.02,-135.96,286.83,3,3,2025-02:2;2025-08:2;2026-Q1:7,EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:6
cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_m15_prev_extreme_bos,3,7,7,57.14,2.355,0.707,205.62,51.48,0.5,1.539,1.042,57.14,57.14,-49.4,255.02,-82.99,288.61,2,3,2025-02:1;2025-08:2;2026-Q1:4,USDJPY:4;XAUUSD:3,LONG:4;SHORT:3
cond_h4_fib_382_618;cond_h1_counter_wave_atr;cond_room_to_2r,3,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_true_bos_level;cond_m15_prev_extreme_bos,3,8,8,62.5,2.943,0.869,294.8,51.48,0.5,1.611,0.981,62.5,62.5,39.78,255.02,-82.99,377.79,3,3,2025-02:1;2025-08:2;2026-Q1:5,AUDJPY:1;USDJPY:4;XAUUSD:3,LONG:4;SHORT:4
cond_h4_fib_382_618;cond_true_bos_level;cond_room_to_2r,3,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h4_fib_382_618;cond_m15_prev_extreme_bos;cond_room_to_2r,3,5,5,60.0,2.863,0.792,187.79,100.82,0.98,1.58,1.072,60.0,60.0,1.5,186.29,-100.82,288.61,2,3,2025-02:1;2025-08:1;2026-Q1:3,USDJPY:3;XAUUSD:2,LONG:2;SHORT:3
cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_h1_counter_wave_atr,3,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
cond_h1_prev_extreme_break;cond_h1_counter_nwave;cond_true_bos_level,3,34,34,38.24,1.159,0.13,160.27,346.93,3.37,1.281,1.111,55.88,35.29,-86.75,247.02,-106.05,266.32,7,4,2025-02:3;2025-08:7;2025-10:4;2026-Q1:20,AUDJPY:2;EURJPY:2;EURUSD:3;GBPJPY:1;GBPUSD:4;USDJPY:13;XAUUSD:9,LONG:12;SHORT:22
