run_id,period_id,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,run_mode,stop_mode,portfolio_mode,parent_wave2_start_mode,child_anchor_mode,legacy_current_code,parent_tf,child_tf,top_context_tf,target_r,max_hold_bars
q1_k_one_symbol_mode2,q1_quick,2025.01.01,2025.03.31,k_one_symbol_mode2,one_symbol_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_q1_k_one_symbol_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_q1_k_one_symbol_mode2.ini,fractal_wave2_state_review_q1_k_one_symbol_mode2,4,0,1,2,1,false,15,5,16385,1.30,30
full2025_a_diagnostic_current_code,full2025_validation,2025.01.01,2025.12.31,a_diagnostic_current_code,diagnostic_current_code,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_a_diagnostic_current_code.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_a_diagnostic_current_code.ini,fractal_wave2_state_review_full2025_a_diagnostic_current_code,3,0,0,0,0,true,15,5,16385,1.30,30
full2025_b_wave2_start_first_close,full2025_validation,2025.01.01,2025.12.31,b_wave2_start_first_close,wave2_start_first_opposite_close,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_b_wave2_start_first_close.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_b_wave2_start_first_close.ini,fractal_wave2_state_review_full2025_b_wave2_start_first_close,2,0,0,0,1,false,15,5,16385,1.30,30
full2025_c_wave2_start_confirmed_pivot,full2025_validation,2025.01.01,2025.12.31,c_wave2_start_confirmed_pivot,wave2_start_confirmed_parent_pivot,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_c_wave2_start_confirmed_pivot.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_c_wave2_start_confirmed_pivot.ini,fractal_wave2_state_review_full2025_c_wave2_start_confirmed_pivot,2,0,0,1,1,false,15,5,16385,1.30,30
full2025_d_wave2_start_child_countertrend,full2025_validation,2025.01.01,2025.12.31,d_wave2_start_child_countertrend,wave2_start_child_countertrend,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_d_wave2_start_child_countertrend.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_d_wave2_start_child_countertrend.ini,fractal_wave2_state_review_full2025_d_wave2_start_child_countertrend,2,0,0,2,1,false,15,5,16385,1.30,30
full2025_e_latest_child_anchor_diagnostic,full2025_validation,2025.01.01,2025.12.31,e_latest_child_anchor_diagnostic,latest_child_anchor_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_e_latest_child_anchor_diagnostic.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_e_latest_child_anchor_diagnostic.ini,fractal_wave2_state_review_full2025_e_latest_child_anchor_diagnostic,3,0,0,2,1,false,15,5,16385,1.30,30
full2025_f_base_first_child_flip_mode0,full2025_validation,2025.01.01,2025.12.31,f_base_first_child_flip_mode0,base_first_child_flip_mode0,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_f_base_first_child_flip_mode0.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_f_base_first_child_flip_mode0.ini,fractal_wave2_state_review_full2025_f_base_first_child_flip_mode0,4,0,0,0,1,false,15,5,16385,1.30,30
full2025_g_base_first_child_flip_mode1,full2025_validation,2025.01.01,2025.12.31,g_base_first_child_flip_mode1,base_first_child_flip_mode1,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_g_base_first_child_flip_mode1.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_g_base_first_child_flip_mode1.ini,fractal_wave2_state_review_full2025_g_base_first_child_flip_mode1,4,0,0,1,1,false,15,5,16385,1.30,30
full2025_h_base_first_child_flip_mode2,full2025_validation,2025.01.01,2025.12.31,h_base_first_child_flip_mode2,base_first_child_flip_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_h_base_first_child_flip_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_h_base_first_child_flip_mode2.ini,fractal_wave2_state_review_full2025_h_base_first_child_flip_mode2,4,0,0,2,1,false,15,5,16385,1.30,30
full2025_i_child_stop_extreme_mode2,full2025_validation,2025.01.01,2025.12.31,i_child_stop_extreme_mode2,child_stop_extreme_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_i_child_stop_extreme_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_i_child_stop_extreme_mode2.ini,fractal_wave2_state_review_full2025_i_child_stop_extreme_mode2,4,0,0,2,1,false,15,5,16385,1.30,30
full2025_j_parent_stop_extreme_mode2,full2025_validation,2025.01.01,2025.12.31,j_parent_stop_extreme_mode2,parent_stop_extreme_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_j_parent_stop_extreme_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_j_parent_stop_extreme_mode2.ini,fractal_wave2_state_review_full2025_j_parent_stop_extreme_mode2,4,1,0,2,1,false,15,5,16385,1.30,30
full2025_k_one_symbol_mode2,full2025_validation,2025.01.01,2025.12.31,k_one_symbol_mode2,one_symbol_mode2,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_k_one_symbol_mode2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2sr_full2025_k_one_symbol_mode2.ini,fractal_wave2_state_review_full2025_k_one_symbol_mode2,4,0,1,2,1,false,15,5,16385,1.30,30
