run_id,period_id,variant,fresh,latest_valid_anchor,anchor_version,signal_age_bars,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,false,true,1,3,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,false,true,1,4,3
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,false,true,1,5,1
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,false,1,0,795
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,true,true,1,0,1301
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,false,true,1,13,1
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,false,true,1,3,2
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,false,true,1,4,4
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,false,true,1,5,1
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,1,0,1453
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,10,0,2
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,11,0,2
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,12,0,1
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,2,0,829
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,3,0,440
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,4,0,218
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,5,0,111
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,6,0,65
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,7,0,33
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,8,0,23
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,true,true,9,0,12
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,10,8
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,11,5
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,12,3
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,13,6
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,14,3
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,16,2
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,17,3
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,18,5
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,19,3
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,20,4
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,21,1
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,23,2
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,25,1
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,false,true,1,27,1
