Preset,RejectReason,Count
C,consecutive_loss_blocked,39
C,fibo_filter_failed,184
C,max_positions_blocked,122
C,pattern_adx_bucket_filter_failed,1646
C,rr_too_low,1
C,spread_too_wide,62
C,trend_alignment_filter_failed,5314
H,consecutive_loss_blocked,22
H,entry_open_count_filter_failed,544
H,fibo_filter_failed,184
H,pattern_adx_bucket_filter_failed,1646
H,rr_too_low,1
H,spread_too_wide,47
H,trend_alignment_filter_failed,5314
J,break_candle_strength_filter_failed,368
J,consecutive_loss_blocked,8
J,entry_open_count_filter_failed,321
J,fibo_filter_failed,184
J,pattern_adx_bucket_filter_failed,1646
J,rr_too_low,1
J,spread_too_wide,27
J,trend_alignment_filter_failed,5314
