finding_id,path,old_value,corrected_value,evidence_path,owning_commit,status
TS9-CORR-001,docs/research/tick_shock/02_known_defects.md,969AC03545D02BBD3DA67EF1213DA39D6AFEDACD9C16F6E479973E123A07E6CD,969AC0350AA64EAA1AFFFFECCA660E8CB2FB3877F4280186215A0E89251455C3,reports/backtest/runs/20260822_tickshock_execution_revision/summary.md,ebb123106b8d7059ec6fc0a416d73e61e697921a,CORRECTED
TS9-CORR-002,reports/analysis/tick_shock/step02_as_is_completion.md,969AC03545D02BBD3DA67EF1213DA39D6AFEDACD9C16F6E479973E123A07E6CD,969AC0350AA64EAA1AFFFFECCA660E8CB2FB3877F4280186215A0E89251455C3,reports/backtest/runs/20260822_tickshock_execution_revision/summary.md,ebb123106b8d7059ec6fc0a416d73e61e697921a,CORRECTED
TS9-CORR-003,reports/tests/tick_shock/step03_test_spec_review.md,Architecture used a shortened SHA and the typo-bearing documents were authoritative,Architecture already used the full baseline SHA; the other two documents contained the typo,reports/backtest/runs/20260822_tickshock_execution_revision/summary.md;docs/research/tick_shock/02_as_is_architecture.md,672c18a85838e91f63c3247cccc82243037254ff,CORRECTED
TS9-CORR-004,docs/research/tick_shock/02_as_is_architecture.md,Full baseline SHA was present but later described as shortened,Both checkpoint and baseline identities are explicitly complete 64-hex SHA-256 values,reports/backtest/runs/20260822_tickshock_execution_revision/summary.md,ebb123106b8d7059ec6fc0a416d73e61e697921a,CLARIFIED
TS9-CORR-005,docs/research/tick_shock/02_function_catalog.md,207 current definitions cataloged,216 current definitions cataloged with zero difference,docs/research/tick_shock/08_final_qa.md;mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5;mql/Include/TickShock,ba66f67aba53d447660aa157f4613c46dcf80742,CORRECTED
TS9-CORR-006,docs/research/tick_shock/02_function_catalog.md,Nine Step 6 definitions and expanded CSV adapter signature absent,Nine functions documented with signatures units responsibilities globals side effects production callers and test callers,docs/research/tick_shock/08_final_qa.md;mql/Include/TickShock/TickShockCsvSerializer.mqh;mql/Include/TickShock/TickShockMt5Adapter.mqh;mql/Include/TickShock/TickShockOrderLifecycle.mqh,1d3948916da587cd20e61036a14980fedd0cfd5d,CORRECTED
TS9-CORR-007,docs/research/tick_shock/02_data_structures_and_globals.md,Default logical capacities recorded as 3612/1806/904,Compile-time physical cap 3612; default logical capacities 3610/1806/904,mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,ba66f67aba53d447660aa157f4613c46dcf80742,CORRECTED
TS9-CORR-008,docs/research/tick_shock/02_data_structures_and_globals.md,Step 6 CSV/order enums and order fill struct absent,ENUM_TS_CSV_OPEN_STATUS ENUM_TS_ORDER_ENTRY_STATE and TickShockOrderFillState documented with units lifetime and update sites,mql/Include/TickShock/TickShockTypes.mqh,1d3948916da587cd20e61036a14980fedd0cfd5d,CORRECTED
TS9-CORR-009,reports/tests/tick_shock/step06_post_fix_green_report.md,Section title could imply all listed tests were corrected in Step 6,Only TS-CSV-001 has recorded XFAIL-to-PASS evidence; seven required causal tests were XPASS in Step 5,reports/tests/tick_shock/step05_pre_fix_results.csv;reports/tests/tick_shock/step06_post_fix_results.csv,1d3948916da587cd20e61036a14980fedd0cfd5d,CLARIFIED
TS9-CORR-010,docs/research/tick_shock/08_final_qa.md,Current catalog drift was nine definitions,Step 8 finding retained historically and marked resolved by Step 9 at 216/216,docs/research/tick_shock/02_function_catalog.md,06f616d7abda785d21bdc9a75de6ac6df4e9c844,RESOLVED
