path,line,function,arguments
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,98,TSRRequiredSampleCapacity,const int detector
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,104,TSRSampleCapacity,const int detector
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,383,TSRLoadCoreConfig,TickShockConfig &config
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,414,TSRLong,const long value
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,415,TSRDouble,"const double value,const int digits=10"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,420,TSRBool,const bool value
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,421,TSRDirection,const int direction
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,423,TSRExecutionModeName,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,428,TSRRunMetadataFingerprint,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,473,TSRStrategyName,const int strategy
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,481,TSRStopMultiple,const int index
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,486,TSRDetectorIndex,const int window_ms
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,492,TSRScenarioLocalIndex,"const int stop_index,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,497,TSRScenarioIndex,"const int strategy,const int stop_index,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,502,TSRExecutionGroupIndex,"const int strategy,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,507,TSRCsvAppend,"string &line,string value"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,512,TSRDebug,"const string symbol,const string message"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,519,TSRFileName,const string suffix
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,524,TSROpenCsv,"const string suffix,const string header"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,541,TSREventHeader,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,554,TSRSummaryHeader,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,559,TSROpenLogs,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,568,TSRCloseLogs,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,576,TSRPercentile,"double &values[],const int count,const double percentile"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,582,TSRMedian,"double &values[],const int count"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,587,TSROldestTick,const TSRSymbolContext &context
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,592,TSROldestGrid,const TSRSymbolContext &context
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,597,TSROldestSample,"const TSRSymbolContext &context,const int detector"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,603,TSRAddTick,"TSRSymbolContext &context,const MqlTick &source"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,621,TSRAddGrid,"TSRSymbolContext &context,const TSRGridPoint &point"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,627,TSRSetSample,"TSRSymbolContext &context,const int detector,const int index,const TSRSecondSample &sample"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,634,TSRGetSample,"const TSRSymbolContext &context,const int detector,const int index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,641,TSRAddSample,"TSRSymbolContext &context,const int detector,const TSRSecondSample &sample"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,649,TSRFindGrid,"const TSRSymbolContext &context,const long time_msc,TSRGridPoint &point"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,665,TSRLogReturn,"const double newer,const double older,bool &valid"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,672,TSRPathEfficiency,"const TSRSymbolContext &context, const long start_msc, const long end_msc, const double start_mid, const double end_mid, double &efficiency"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,702,TSRPreSkipIndex,const string reason
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,717,TSRCountPreSkip,"const int symbol_index,const string reason"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,725,TSRFindSampleAt,"const TSRSymbolContext &context,const int detector,const long target_msc,TSRSecondSample &sample"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,740,TSRClampedBin,"const double value,const double unit,const int bins,bool &overflow"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,749,TSRAdjustMoveTickHistogram,"TSRSymbolContext &context,const int detector,const TSRSecondSample &sample,const int delta"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,769,TSRAdjustSpreadHistogram,"TSRSymbolContext &context,const int detector,const TSRSecondSample &sample,const int delta"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,781,TSRHistogramPercentile,"const int &hist[],const int offset,const int max_bin,const int count,const double percentile"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,786,TSRHistogramMadBins,"const TSRSymbolContext &context,const int detector,const double median_bin,const int count"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,804,TSRRebuildBaselineHistograms,"TSRSymbolContext &context,const int detector,const long boundary_msc"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,830,TSRRefreshBaseline,"TSRSymbolContext &context,const int detector,const long boundary_msc"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,882,TSRSessionLabel,const long time_msc
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,896,TSRTrend,"const int symbol_index,const ENUM_TIMEFRAMES timeframe"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,904,TSRAlignment,"const int direction,const string m15,const string h1"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,917,TSRResetScenario,TSRScenario &scenario
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,954,TSRContainsSymbol,"const string symbol,const int upto"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,960,TSRInitializeSymbol,"TSRSymbolContext &context,const string symbol"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1001,TSRParseSymbols,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1021,TSRWriteSymbolSpecs,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1036,TSRNormalizeNearest,"const int symbol_index,const double price"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1043,TSRNormalizeStopOutward,"const int symbol_index,const int direction,const double price"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1048,TSRCommissionR,"const int symbol_index,const int direction,const double entry,const double sl,double &commission_r,string &reason"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1062,TSRRegisterStrategySignal,"TSREvent &event, const int strategy, const int direction, const long signal_event_msc, const long signal_processing_msc, const double signal_bid, const double signal_ask"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1107,TSRInvalidateScenario,"TSRScenario &scenario,const ENUM_TS_SCENARIO_STATUS reason"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,1115,TSRNormalizeEntryAdverse,"const int symbol_index,const int direction,const double price"
