finding_id,severity,category,evidence_path,affected_requirement,status,required_action
TSQA-001,BLOCKER,production_readiness,reports/tests/tick_shock/step06_post_fix_green_report.md,REQ-ORDER-001;REQ-ORDER-003;REQ-ORDER-004;REQ-ORDER-005,OPEN,"Keep research-only status; obtain controlled terminal evidence for OrderCheck OrderSend partial fills server SL/TP time close deal aggregation and restart recovery before any production promotion"
TSQA-002,HIGH,commission_evidence,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/symbol_specs.csv,REQ-EXEC-007,OPEN,"Measure the actual account commission and rerun the pre-registered REALIZABLE evaluation with nonzero commission; do not describe the present result as fully cost-after"
TSQA-003,HIGH,red_green_history,reports/tests/tick_shock/step05_pre_fix_red_report.md,REQ-TIME-001;REQ-TIME-004;REQ-TIME-005;REQ-DET-001;REQ-MULTI-003;REQ-EXEC-003;REQ-EXEC-008,OPEN,"Preserve the limitation that seven required pre-fix defects were XPASS at Step 5 and therefore lack RED-before-fix evidence; do not claim Step 6 alone caused those corrections"
TSQA-004,HIGH,sample_and_edge,reports/backtest/runs/20260822_tickshock_causal_comparison_202503/summary.md,EDGE-VALIDATION,OPEN,"Do not promote optimize or start automatic long OOS; independent n is 15 market clusters and any future extended validation must be pre-registered without selecting a March-positive cell"
TSQA-005,MEDIUM,deterministic_coverage,reports/tests/tick_shock/step06_post_fix_results.csv,REQ-DET-002;REQ-DET-003;REQ-DET-004;REQ-DET-009;REQ-EXEC-007;REQ-MULTI-004,OPEN,"Expose and test the remaining detector commission cross-detector cluster and dedup production seams; retain SKIP until directly exercised"
TSQA-006,MEDIUM,documentation_drift,docs/research/tick_shock/02_function_catalog.md,QA-FUNCTION-CATALOG,OPEN,"Update the catalog from 207 to the current 216 definitions and document the Step 6 CSV/order lifecycle enums structs and adapter signatures before the next handoff"
TSQA-007,MEDIUM,reproducibility,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/source_hashes.txt,REQ-PROV-001,PARTIAL,"Archive the exact EX5 SHA-256 and terminal executable identity with each run; source commit config preset build broker and compile evidence already match"
TSQA-008,MEDIUM,tick_quality,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/tick_quality.csv,QA-TICK-QUALITY,PARTIAL,"Treat GBPUSD 179 generated minutes as a sensitivity limitation and add positive real-tick coverage evidence for every symbol before stronger microstructure claims"
TSQA-009,MEDIUM,broker_distance_observation,reports/backtest/runs/20260822_tickshock_causal_realizable_202503/symbol_specs.csv,REQ-EXEC-008,PARTIAL,"Retain deterministic Bid/Ask basis PASS but observe nonzero StopsLevel and FreezeLevel behavior and actual server acceptance before deployability claims"
TSQA-010,LOW,manifest_versioning,docs/research/tick_shock/00_artifact_manifest.md,QA-MANIFEST,PARTIAL,"Add an immutable commit field to future artifact rows; all 16 historical current-path SHA differences resolve at their owning Step commits and all latest-path hashes match"
TSQA-011,INFO,causal_execution,reports/qa/tick_shock/step08_recalculation.csv,REQ-TIME-001;REQ-TIME-004;REQ-TIME-005;REQ-EXEC-003;REQ-MULTI-003,VERIFIED,"Maintain REALIZABLE_EA as the only formal execution mode; Step 8 independently found zero formal causal violations across 7128 valid cells"
TSQA-012,INFO,specification_integrity,reports/qa/tick_shock/step08_traceability_audit.csv,ALL-STEP3-REQUIREMENTS,VERIFIED,"Keep the 64 fixture and expected pairs immutable; traceability path gaps are zero and Step 3 expected inputs have not changed through Step 7"
