feature,direction,low_bin_n,low_bin_ev,high_bin_n,high_bin_ev
m5_ema20_price_gap_atr,LONG,497,-0.010853715063407,621,-0.071261237950066
m5_ema20_price_gap_atr,SHORT,497,-0.069968094264087,621,-0.013143694096227
m5_ema20_50_gap_atr,LONG,648,-0.043467765478663,688,-0.053826276778332
m5_ema20_50_gap_atr,SHORT,648,-0.033770529755452,688,-0.04281243362467
m5_rsi14_pct64,LONG,513,-0.0038421620944004,640,-0.050800040741327
m5_rsi14_pct64,SHORT,513,-0.079917988479767,640,-0.03844895152554
m5_macd_hist_atr,LONG,550,-0.031246760194446,624,-0.062155449313646
m5_macd_hist_atr,SHORT,550,-0.049600018785613,624,-0.022147082670669
m5_atr14_pct64,LONG,518,-0.065556978136961,559,-0.057874489327991
m5_atr14_pct64,SHORT,518,-0.068974565202628,559,-0.0035771569122882
m5_spread_atr,LONG,685,-0.018019643625618,340,-0.11259943917072
m5_spread_atr,SHORT,685,-0.033955972925635,340,-0.094489610844951
m1_tick_volume_pct64,LONG,616,-0.015967572979605,576,-0.048933325536772
m1_tick_volume_pct64,SHORT,616,-0.056135337765045,576,-0.057628686113033
m5_ema_alignment,LONG,1009,-0.049869911310798,872,-0.062885177457636
m5_ema_alignment,SHORT,1009,-0.035648199009008,872,-0.023154693078805
m1_m5_alignment_product,LONG,53,-0.1537860446384,1109,-0.04596082698394
m1_m5_alignment_product,SHORT,53,0.056688618136226,1109,-0.040248088878987
m1_m15_alignment_product,LONG,381,-0.035006266277705,766,-0.062616343790425
m1_m15_alignment_product,SHORT,381,-0.045519219989723,766,-0.026860626055203
