check_id,category,status,actual,evidence_path
S15E-QA-001,baseline_test_rollup,PASS,PASS248_FAIL0_XFAIL0_XPASS0_SKIP9_BLOCKED0,reports/tests/tick_shock/step15e_green/legacy_regression_summary.txt
S15E-QA-002,new_production_path_tests,PASS,PASS28_FAIL0_XFAIL0_XPASS0_SKIP0_BLOCKED0,reports/tests/tick_shock/step15e_green/step15e_green_results.csv
S15E-QA-003,compile,PASS,16_targets_0_errors_0_warnings,reports/tests/tick_shock/step15e_green/compile_results.csv
S15E-QA-004,independent_oracle,PASS,28_rows_0_mismatches,reports/tests/tick_shock/step15e_green/independent_oracle.csv
S15E-QA-005,step15d_identity,PASS,detector_path_cluster_mismatches_0,reports/analysis/tick_shock/step15e/step15d_behavior_comparison.csv
S15E-QA-006,parameter_diff,PASS,differences_0,reports/analysis/tick_shock/step15e/parameter_diff.csv
S15E-QA-007,causal_integrity,PASS,future_backdate_drop_capacity_duplicate_episode_0,reports/analysis/tick_shock/step15e/analysis_summary.json
S15E-QA-008,orders,PASS,production_order_rows_0,reports/backtest/runs/20260830_ts15e_tail_v1_persistent_medium_horizon_202503/trades.csv
S15E-QA-009,fallback_primary,PARTIAL,GBPUSD_179_of_30187_minutes_all_417_episodes_excluded,reports/backtest/runs/20260830_ts15e_tail_v1_persistent_medium_horizon_202503/tick_quality.csv
S15E-QA-010,matched_control,NOT_ESTIMABLE,causal_15m_control_path_not_recorded,reports/analysis/tick_shock/step15e/matched_control_results.csv
S15E-QA-011,formal_net,UNAVAILABLE,commission_and_slippage_incomplete,reports/analysis/tick_shock/step15e/cost_headroom.csv
S15E-QA-012,candidate_gate,PASS,candidate_rows_0_no_hypothesis_frozen,reports/analysis/tick_shock/step15e/candidate_registry.csv
S15E-QA-013,tick_accounting,PARTIAL,ea_summary_10587809_vs_tester_journal_10587807_definition_difference_2,reports/backtest/runs/20260830_ts15e_tail_v1_persistent_medium_horizon_202503/summary.md
