"dependency_id","path","classification","required_for","source_or_evidence","compile_or_run_role","sha256","owning_step","owning_commit","status","note"
"TSDEP-001","mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5","production_entry","current_research_compile","source","EA composition root and event handlers","E7C964CA0B4CDECD054D6F764BD2195B2B54CC96C5A0029E1021C80375FB2C8C","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","formal research EA"
"TSDEP-002","mql/Experts/ExpectedValue_MultiCurrency_TickShockScalper.mq5","reference_production_source","historical_reference_only","source","separate trading EA; not a current research-EA compile dependency","60A1A462CF19683A4C01BE8407B24BC3316A55F7D26DB1F54310329A775BCDF2","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","do not substitute for research EA"
"TSDEP-003","mql/Experts/tests/ExpectedValue_TickShock_DetectorHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","FB9072D66772730D9FB24ABBE2C31C2786B09A4A80EFF632A9047A048171CCF7","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-004","mql/Experts/tests/ExpectedValue_TickShock_DomainUnitHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","D8B4271743F740C9D22F774A237E23E381A0FAE3DEF69FB849E5B2E75491EA4E","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-005","mql/Experts/tests/ExpectedValue_TickShock_ExecutionHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","A7C77896AE340F6D6C949D9AEC784D9E0C79F488A5055B41A3B4FB98B5EEBA91","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-006","mql/Experts/tests/ExpectedValue_TickShock_MultiCurrencyMergeHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","188912B7C78BB2DD0A75E5E346F4D8AAC343F05EFD354860C2E32F238521CAAC","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-007","mql/Experts/tests/ExpectedValue_TickShock_OrderLifecycleHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","D752696629FE1F20D669FB890C82CB092DF0FEFA618F371DFAE688E332B23128","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-008","mql/Experts/tests/ExpectedValue_TickShock_OrderReachabilityHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","164A5C89E976E66FED7EE1AA3557DB784C7E3A8990B244F673E0C5A421F8917C","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-009","mql/Experts/tests/ExpectedValue_TickShock_ReachabilityHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","04E116772925CA1D7ADC6BD8352894A9A23CC1248FFF890D7775EC2452DB0AB1","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-010","mql/Experts/tests/ExpectedValue_TickShock_ResearchReachabilityHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","E352D902FE01F7B721045175DCF139AC0B3CA0F938E2D459785B569684CCD594","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-011","mql/Experts/tests/ExpectedValue_TickShock_StateMachineHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","F82AD9A98D791BB6D7729BB2DF61C465D154F293593E011F1A44DFEB7F67E490","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-012","mql/Experts/tests/ExpectedValue_TickShock_SyntheticIntegrationHarness.mq5","test_harness","harness_compile_and_regression","source","MQL5 executable harness","DA554A5925670BB3A6A9BC1C8936854A57FC0C033C29DA2E10BDD926FA3D4E11","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","compile separately from research EA"
"TSDEP-013","mql/Experts/tests/TickShockStep5TestSupport.mqh","test_support_include","step05_step06_harness_compile","source","fixture/expected loader and production-module test dispatcher","569D875425CD86BBE71B3F77D5BB0B2A41534ED3F16A270C11402AFF0580E688","05","78d5a94cfc7fda709b4e4e596a261a1e7754e289","PRESENT_TRACKED","test-only support"
"TSDEP-014","mql/Include/TickShock/TickShockClusterer.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","567918B873EFED5FCFD66F8431C42E5C6D2A295AE2E4585D2A37136DA190F9CF","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-015","mql/Include/TickShock/TickShockConfig.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","4E90C3BDD9269816655E268A9569831E6A26B15D48EA68EC3DEB68659C4A4247","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-016","mql/Include/TickShock/TickShockCsvSerializer.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","20091E36DDB3ED9DB9C945EB38B5D6CBE11B3EC3CF14AB75E2F0C9ED12D26FD8","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-017","mql/Include/TickShock/TickShockDetector.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","A824700BFD279373277217A9C218DD0B3B3E61FD77FAD37A8B798E6BC24AA703","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
